%Runtime 20151211,  Coefs: 0.9806 / 0.077
%nrec yyyy MM dd hh mm ss lat lon Ts
1 2015 10 09 05 21 13 36.84126 -76.26750 21.138
2 2015 10 09 05 24 20 36.84127 -76.26750 21.200
3 2015 10 09 05 30 34 36.84127 -76.26750 21.031
4 2015 10 09 05 33 40 36.84126 -76.26749 20.943
5 2015 10 09 05 39 54 36.84127 -76.26750 21.117
6 2015 10 09 05 43 01 36.84127 -76.26750 21.204
7 2015 10 09 05 46 07 36.84125 -76.26751 20.941
8 2015 10 09 05 49 14 36.84124 -76.26752 21.135
9 2015 10 09 05 52 21 36.84125 -76.26753 21.238
10 2015 10 09 05 58 34 36.84125 -76.26754 21.444
11 2015 10 09 06 14 07 36.84129 -76.26750 21.346
12 2015 10 09 06 23 27 36.84128 -76.26752 21.283
13 2015 10 09 06 29 40 36.84127 -76.26752 21.276
14 2015 10 09 06 35 53 36.84128 -76.26751 21.237
15 2015 10 09 06 48 17 36.84127 -76.26751 21.029
16 2015 10 09 06 54 30 36.84127 -76.26751 21.185
17 2015 10 09 06 57 37 36.84127 -76.26751 21.114
18 2015 10 09 07 03 50 36.84127 -76.26751 21.169
19 2015 10 09 07 13 10 36.84126 -76.26751 21.106
20 2015 10 09 07 16 16 36.84126 -76.26750 21.047
21 2015 10 09 07 19 23 36.84126 -76.26750 21.012
22 2015 10 09 07 28 43 36.84127 -76.26751 21.038
23 2015 10 09 07 34 57 36.84127 -76.26751 21.216
24 2015 10 09 07 41 11 36.84127 -76.26750 21.090
25 2015 10 09 07 47 24 36.84127 -76.26751 21.016
26 2015 10 09 07 50 31 36.84128 -76.26750 21.100
27 2015 10 09 07 53 38 36.84127 -76.26750 21.093
28 2015 10 09 07 56 45 36.84127 -76.26750 21.066
29 2015 10 09 07 59 51 36.84127 -76.26750 21.014
30 2015 10 09 08 02 59 36.84128 -76.26751 21.065
31 2015 10 09 08 06 05 36.84128 -76.26751 20.994
32 2015 10 09 08 09 12 36.84126 -76.26752 20.962
33 2015 10 09 08 12 19 36.84127 -76.26751 21.004
34 2015 10 09 08 15 25 36.84127 -76.26751 21.014
35 2015 10 09 08 18 32 36.84127 -76.26751 21.011
36 2015 10 09 08 34 05 36.84126 -76.26750 21.006
37 2015 10 09 08 43 24 36.84127 -76.26752 20.923
38 2015 10 09 08 46 32 36.84127 -76.26752 20.821
39 2015 10 09 08 49 38 36.84127 -76.26750 20.888
40 2015 10 09 08 52 45 36.84128 -76.26749 20.831
41 2015 10 09 08 58 59 36.84128 -76.26751 20.669
42 2015 10 09 09 11 25 36.84128 -76.26750 20.820
43 2015 10 09 09 14 32 36.84129 -76.26751 20.906
44 2015 10 09 09 17 40 36.84129 -76.26750 20.835
45 2015 10 09 09 30 06 36.84128 -76.26752 20.813
46 2015 10 09 09 33 13 36.84129 -76.26751 20.841
47 2015 10 09 09 36 21 36.84128 -76.26751 20.929
48 2015 10 09 09 42 34 36.84128 -76.26751 20.925
49 2015 10 09 09 51 53 36.84127 -76.26752 20.931
50 2015 10 09 09 55 01 36.84127 -76.26752 20.843
51 2015 10 09 09 58 08 36.84126 -76.26753 20.850
52 2015 10 09 10 07 27 36.84126 -76.26750 20.815
53 2015 10 09 10 13 40 36.84128 -76.26749 20.813
54 2015 10 09 10 22 59 36.84127 -76.26750 20.770
55 2015 10 09 10 26 06 36.84127 -76.26749 20.887
56 2015 10 09 10 29 13 36.84127 -76.26749 20.766
57 2015 10 09 10 44 44 36.84128 -76.26750 20.679
58 2015 10 09 10 50 59 36.84128 -76.26750 20.924
59 2015 10 09 10 57 12 36.84127 -76.26751 20.684
60 2015 10 09 11 09 39 36.84128 -76.26752 20.889
61 2015 10 09 11 12 46 36.84128 -76.26753 20.790
62 2015 10 09 11 15 53 36.84128 -76.26754 20.833
63 2015 10 09 11 19 00 36.84128 -76.26755 20.917
64 2015 10 09 11 37 37 36.84130 -76.26753 20.892
65 2015 10 09 11 40 44 36.84129 -76.26752 20.973
66 2015 10 09 11 43 51 36.84129 -76.26752 20.814
67 2015 10 09 11 58 14 36.84128 -76.26752 20.932
68 2015 10 09 12 04 28 36.84127 -76.26753 21.093
69 2015 10 09 12 07 34 36.84127 -76.26751 21.146
70 2015 10 09 12 13 47 36.84127 -76.26751 20.972
71 2015 10 09 12 16 54 36.84128 -76.26750 20.950
72 2015 10 09 12 35 33 36.84126 -76.26748 21.037
73 2015 10 09 12 38 40 36.84126 -76.26748 21.044
74 2015 10 09 12 41 47 36.84126 -76.26748 21.077
75 2015 10 09 13 19 47 36.84129 -76.26751 21.212
76 2015 10 09 13 26 01 36.84127 -76.26752 21.235
77 2015 10 09 13 35 20 36.84127 -76.26751 21.221
78 2015 10 09 13 38 28 36.84128 -76.26752 21.306
79 2015 10 09 13 47 47 36.84138 -76.26765 21.287
80 2015 10 09 13 54 00 36.84132 -76.26756 21.228
81 2015 10 09 13 57 08 36.84137 -76.26757 21.276
82 2015 10 09 14 00 15 36.84138 -76.26761 21.286
83 2015 10 09 14 03 22 36.84137 -76.26760 21.223
84 2015 10 09 14 06 28 36.84136 -76.26758 21.355
85 2015 10 09 14 09 34 36.84135 -76.26757 21.364
86 2015 10 09 14 15 46 36.84133 -76.26756 21.353
87 2015 10 09 14 22 00 36.84133 -76.26757 21.317
88 2015 10 09 14 25 06 36.84134 -76.26757 21.258
89 2015 10 09 14 28 12 36.84129 -76.26754 21.284
90 2015 10 09 14 31 18 36.84132 -76.26760 21.308
91 2015 10 09 14 34 25 36.84131 -76.26758 21.268
92 2015 10 09 14 37 31 36.84130 -76.26756 21.406
93 2015 10 09 14 43 45 36.84129 -76.26754 21.413
94 2015 10 09 14 46 52 36.84128 -76.26754 21.427
95 2015 10 09 14 49 59 36.84128 -76.26754 21.425
96 2015 10 09 14 56 12 36.84127 -76.26753 21.449
97 2015 10 09 14 59 18 36.84133 -76.26750 21.477
98 2015 10 09 15 05 31 36.84130 -76.26751 21.451
99 2015 10 09 15 08 38 36.84129 -76.26752 21.442
100 2015 10 09 15 24 09 36.84124 -76.26741 21.624
101 2015 10 09 15 36 32 36.84125 -76.26746 21.590
102 2015 10 09 15 39 39 36.84126 -76.26747 21.548
103 2015 10 09 15 49 01 36.84126 -76.26746 21.464
104 2015 10 09 15 58 20 36.84127 -76.26747 21.663
105 2015 10 09 16 07 42 36.84126 -76.26748 21.719
106 2015 10 09 16 10 49 36.84122 -76.26750 21.618
107 2015 10 09 16 13 57 36.84123 -76.26749 21.584
108 2015 10 09 16 17 03 36.84126 -76.26750 21.629
109 2015 10 09 16 20 10 36.84127 -76.26750 21.770
110 2015 10 09 16 26 22 36.84127 -76.26750 21.578
111 2015 10 09 16 38 47 36.84129 -76.26752 21.832
112 2015 10 09 16 41 54 36.84129 -76.26751 21.816
113 2015 10 09 16 48 09 36.84128 -76.26751 21.830
114 2015 10 09 16 51 18 36.84127 -76.26752 21.856
115 2015 10 09 17 04 00 36.84129 -76.26750 22.054
116 2015 10 09 17 10 13 36.84129 -76.26751 21.892
117 2015 10 09 17 13 20 36.84129 -76.26750 21.716
118 2015 10 09 17 16 27 36.84129 -76.26751 21.721
119 2015 10 09 17 22 39 36.84130 -76.26753 21.871
120 2015 10 09 17 25 46 36.84130 -76.26754 21.924
121 2015 10 09 17 28 52 36.84131 -76.26753 21.875
122 2015 10 09 17 31 59 36.84130 -76.26752 21.987
123 2015 10 09 17 38 12 36.84127 -76.26751 21.981
124 2015 10 09 17 41 18 36.84127 -76.26751 21.972
125 2015 10 09 17 44 25 36.84127 -76.26752 22.036
126 2015 10 09 17 50 39 36.84125 -76.26751 21.875
127 2015 10 09 18 09 15 36.84127 -76.26752 22.018
128 2015 10 09 18 12 22 36.84127 -76.26751 21.919
